sample_id,contract_id,stratum,physical_loc,original_label,direct_label,direct_reason,direct_evidence_lines,direct_evidence_text,direct_status,fixed_rule_candidates,fixed_rule_label,fixed_rule_reason,fixed_rule_evidence_lines,fixed_rule_evidence_text,fixed_rule_status,llm_keywords,llm_keyword_candidates,llm_keyword_label,llm_keyword_reason,llm_keyword_evidence_lines,llm_keyword_evidence_text,llm_keyword_status,direct_reported_evidence_text,direct_verified_evidence_status,fixed_rule_reported_evidence_text,fixed_rule_verified_evidence_status,llm_keyword_reported_evidence_text,llm_keyword_verified_evidence_status
re-case-11,12029,<100,97,1,1,Collect 函数中先执行 msg.sender.call.value(_am)()，若调用成功且被攻击者利用重入机制修改了 Acc[msg.sender].balance 状态后，再执行 acc.balance-=_am。由于外部交互发生在状态更新之前，导致余额不一致的重入漏洞存在。,[43],"[""        var acc = Acc[msg.sender];""]",success,"[8, 44, 54, 56, 58]",1,在 Collect 函数中，先读取 acc.balance 进行条件判断（状态读），随后调用 msg.sender.call.value(_am)() 发送资金（外部交互），最后才执行 acc.balance-=_am 更新余额（状态写）。这种‘读 - 调 - 写’的顺序且缺乏重入保护机制，允许攻击者在 call 返回前再次进入函数并重复消耗未扣减的 balance。,"[54, 56, 58]","[""        if( acc.balance>=MinSum && acc.balance>=_am && now>acc.unlockTime)"", ""            if(msg.sender.call.value(_am)())"", ""                acc.balance-=_am;""]",success,"[""Acc"", ""balance"", ""_am"", ""Collect"", ""msg.sender.call.value(_am)"", ""now""]","[8, 11, 43, 44, 45, 49, 53, 54, 56, 58, 59, 92]",1,Collect 函数中先执行外部调用 msg.sender.call.value(_am)()，随后才更新状态变量 acc.balance-=_am。若被调用的合约发生重入攻击，可在 balance 未减少前再次进入 Collect 并重复获取资金，导致余额不一致且无法保护资产安全。,"[56, 58]","[""            if(msg.sender.call.value(_am)())"", ""                acc.balance-=_am;""]",success,"[""if(msg.sender.call.value(_am)())""]",verified,"[""if( acc.balance>=MinSum && acc.balance>=_am && now>acc.unlockTime)"", ""            if(msg.sender.call.value(_am)())"", ""                acc.balance-=_am;""]",verified,"[""if(msg.sender.call.value(_am)())"", ""acc.balance-=_am;""]",verified
re-case-12,10205,100-300,126,0,0,所有状态更新（如_balances 读写）均在外部调用发生前完成，且无外部可重入交互点。,[],[],success,"[12, 32, 51, 57, 58, 62, 63, 64, 78, 80, 81, 122]",0,代码中所有状态更新（如_balances 的加减）均在外部调用发生之前完成，且函数均为 pure/view 或内部逻辑无外部交互入口，不存在重入风险。,"[63, 80]","[""    _balances[msg.sender] = _balances[msg.sender].sub(value);"", ""    _balances[from] = _balances[from].sub(value);""]",success,"[""_balances"", ""msg.sender"", ""_allowances"", ""transferFrom"", ""approve"", ""increaseApproval"", ""decreaseApproval""]","[40, 41, 51, 58, 62, 63, 64, 65, 73, 76, 78, 79, 80, 81, 82, 86, 87, 88, 92, 94, 95, 96, 99, 100, 102, 104, 106, 122, 123]",0,代码中所有涉及状态更新的函数（如 transfer、transferFrom）均在外部调用发生前完成了余额状态的修改，且未包含可被重入的外部交互逻辑。,[],[],success,[],empty,"[""_balances[msg.sender] = _balances[msg.sender].sub(value);"", ""_balances[from] = _balances[from].sub(value);""]",verified,[],empty
re-case-13,1912,>300,1962,1,1,在 buy()函数中，先检查了msg.value和allowance（状态读取），然后调用payable(currentOwner).transfer或purchaseToken.safeTransferFrom进行外部交互。只有在这些操作成功后才调用handleTokenTransferOnBuy更新内部NFT信息（_balances等）。由于ERC721Enumerable的_transfer在_safeMint中会修改_balances，且buy函数未使用ReentrancyGuard或在状态写入前阻止重入，存在重入漏洞风险。,"[345, 360]","[""     */"", ""    /**""]",success,"[150, 190, 193, 198, 199, 210, 243, 282, 302, 303, 323, 341, 361, 362, 366, 390, 391, 399, 411, 422, 498, 499, 502, 510, 511, 515, 523, 527, 531, 535, 540, 545, 549, 554, 555, 559, 565, 569, 574, 579, 586, 587, 589, 591, 594, 598, 599, 603, 609, 612, 617, 618, 622, 627, 629, 630, 634, 635, 639, 644, 647, 652, 653, 657, 662, 664, 665, 668, 806, 839, 841, 850, 852, 927, 959, 989, 1017, 1026, 1036, 1094, 1136, 1160, 1193, 1194, 1212, 1217, 1218, 1253, 1256, 1285, 1343, 1374, 1377, 1413, 1441, 1495, 1498, 1511, 1519, 1536, 1563, 1576, 1579, 1589, 1601, 1619, 1626, 1638, 1660, 1672, 1674, 1675, 1677, 1678, 1679, 1680, 1682, 1684, 1942]",0,候选窗口仅包含接口定义、库函数及辅助逻辑，未展示任何涉及状态变量读写与外部调用的业务逻辑代码。RE 漏洞需依赖具体的 state update（如余额扣除）发生在 external call 之前的顺序判断，此处无相关证据。,[],[],success,"[""balance"", ""_balances"", ""ownerOf"", ""_owners"", ""safeTransferFrom"", ""functionCall"", ""transfer""]","[161, 170, 209, 212, 223, 253, 255, 282, 291, 294, 303, 305, 307, 314, 316, 325, 327, 334, 335, 362, 383, 391, 393, 395, 405, 410, 413, 414, 481, 486, 487, 489, 491, 498, 499, 527, 531, 535, 540, 545, 549, 550, 554, 559, 565, 574, 579, 586, 587, 598, 617, 634, 652, 803, 806, 839, 841, 850, 852, 856, 858, 865, 922, 979, 981, 989, 992, 996, 998, 1003, 1007, 1009, 1017, 1019, 1023, 1028, 1029, 1036, 1038, 1040, 1046, 1049, 1062, 1082, 1089, 1094, 1096, 1114, 1119, 1128, 1134, 1136, 1137, 1139, 1150, 1153, 1155, 1160, 1161, 1163, 1167, 1168, 1175, 1177, 1183, 1184, 1186, 1188, 1193, 1194, 1195, 1197, 1207, 1216, 1239, 1253, 1259, 1266, 1285, 1343, 1374, 1380, 1388, 1393, 1413, 1430, 1441, 1495, 1502, 1504, 1508, 1511, 1541, 1543, 1555, 1579, 1584, 1591, 1595, 1603, 1679, 1682, 1747, 1757, 1771, 1779, 1807, 1814, 1838, 1845, 1852, 1859, 1912, 1917, 1942, 1955, 1956, 1959]",0,"代码片段主要展示 ERC721 标准接口定义、Ownable 模块及 NFT 市场合约逻辑。关键函数如 buy() (行 1835) 和 mint() (行 1761) 在调用外部转账或转移前，先检查了状态（msg.value, allowance）并执行了内部变量赋值，但并未出现典型的‘先更新余额/所有权再调用外部可重入函数’的模式。所有涉及外部调用的地方要么使用了 safeTransferFrom (行 1780, 1852) 等安全封装，要么在转账后直接结束或进行非状态修改操作（如 emit event），缺乏 reentrancy guard 缺失且先改状态的漏洞特征。",[],[],success,"[""        if(internalNFTInfo[_tokenId].sellCurrency == currency.Ether) {"", ""            require("", """"]",verified,[],empty,[],empty
re-case-14,14943,>300,1659,1,1,函数 makingobblin 在调用 _safeMint（状态更新）之前调用了 Address.sendValue，存在重入漏洞。,[328],"["" * manner, since when dealing with meta-transactions the account sending and""]",success,"[136, 187, 339, 382, 385, 390, 391, 402, 471, 473, 478, 479, 483, 491, 495, 496, 500, 505, 510, 514, 519, 520, 524, 529, 533, 538, 544, 545, 547, 548, 552, 553, 557, 558, 562, 563, 567, 572, 574, 575, 579, 580, 584, 585, 589, 590, 594, 599, 601, 602, 605, 645, 646, 738, 752, 793, 804, 829, 891, 911, 912, 932, 950, 967, 968, 972, 993, 994, 1002, 1024, 1084, 1131, 1135, 1171, 1173, 1174, 1175, 1251, 1270, 1341, 1377, 1380, 1427, 1437, 1438, 1441, 1442, 1448, 1478, 1483, 1484, 1510, 1515, 1529, 1535, 1553, 1557, 1560, 1576, 1590, 1591, 1593, 1597, 1598, 1600, 1656]",0,代码片段主要包含签名验证逻辑、ERC721A 代币转移（无外部调用）、以及 ReentrancyGuard 库定义。虽然末尾存在一个向 msg.sender 转账的函数，但该函数标记为 onlyOwner 且未涉及状态更新前的交互顺序问题，不符合 RE 漏洞特征。,[],[],success,"[""makingobblin"", ""totalSupply"", ""_safeMint"", ""howmanygobblins""]","[1020, 1030, 1115, 1117, 1125, 1131, 1136, 1332, 1333, 1346, 1619, 1627, 1628, 1632, 1633, 1634, 1638, 1640]",0,代码片段主要包含接口定义、只读函数（view）以及带有 nonReentrant 修饰符的 minting 逻辑。关键的状态更新操作_safeMint 被 ReentrancyGuard 保护，且没有发现先读取状态再调用外部函数的危险模式。,[],[],success,"[""    function sumthinboutfunds() public payable onlyOwner {""]",verified,[],empty,[],empty
re-case-15,369,>300,311,0,1,transferFrom函数中先读取并修改balances[_from]和balances[_to]状态，然后才调用emit Transfer事件。由于ERC20标准接口允许外部合约在Transfer事件中重新进入（re-enter）该合同，攻击者可在余额更新后、事件触发前再次调用transferFrom或approve等可写函数，导致重复扣减同一笔代币并多次记录转移事件，造成状态不一致。,"[135, 140]","[""  /**"", ""  function transfer(address _to, uint256 _value) public returns (bool) {""]",success,"[27, 77, 110, 124, 142, 144, 145, 151, 152, 155, 156, 198, 201, 202, 237, 238, 253, 254, 289, 294, 295, 297, 298, 306]",0,代码片段展示了 ERC20 token 的 transfer/transferFrom 逻辑，状态更新（balances）与事件发射顺序正确。虽然存在 owner.transfer() 调用外部账户的可能性，但该行位于 safeWithdrawal 函数内且仅当_value==0 时触发，此时不涉及合约自身余额变动或可被重入的状态依赖变量修改；此外没有显示在 balance/call 之前读取状态的情况，因此不符合 RE 定义。,[],[],success,"[""balances"", ""msg.sender"", ""_transfer"", ""safeWithdrawal"", ""owner"", ""address(this)"", ""sub"", ""add""]","[3, 7, 11, 14, 15, 19, 23, 27, 29, 30, 35, 36, 38, 39, 40, 41, 45, 47, 48, 49, 84, 86, 92, 94, 110, 111, 112, 124, 136, 137, 140, 141, 142, 144, 145, 146, 151, 152, 153, 155, 156, 170, 171, 172, 173, 187, 191, 192, 193, 196, 197, 198, 199, 201, 202, 203, 209, 215, 218, 219, 220, 225, 226, 227, 230, 231, 235, 241, 242, 244, 245, 246, 251, 257, 258, 260, 261, 262, 263, 265, 267, 281, 289, 290, 293, 294, 295, 297, 298, 304, 306, 308]",0,代码中不存在外部调用（external call）在状态更新之前发生的模式。transferFrom (行 196-205) 和 transfer (行 140-147) 等函数先执行了余额的状态读写，且没有调出其他可被重入的合约函数；safeWithdrawal (行 304-308) 虽然存在外部调用 owner.transfer(...)，但它是状态更新（如 allowance 或 balance）之后的操作，或者该函数本身不涉及需要保护的关键共享状态变更前的暴露。因此不满足重入漏洞定义中的‘先交互后更新’条件。,[],[],success,"[""    balances[_from] = balances[_from].sub(_value);                         // Subtract from the sender\n    balances[_to] = balances[_to].add(_value);                            // Add the same to the recipient""]",verified,[],empty,[],empty
re-case-16,6658,>300,554,0,0,该代码为 OpenZeppelin ERC20 标准实现，所有状态更新（如_balances）均在外部调用前完成或仅在内部函数中执行。无外部可重入交互点，且未涉及 ETH 转账前的状态变更风险。,[],[],success,"[33, 59, 71, 74, 87, 92, 109, 179, 189, 229, 238, 252, 254, 255, 264, 283, 307, 308, 323, 341, 351, 377, 389, 390, 392, 393, 395, 419, 420, 443, 444, 446, 447, 504, 507, 524, 527]",0,代码片段展示了 ERC20 标准库的实现，其中状态更新（如_balances）在内部函数_transfer中是原子性的且没有外部交互点。所有公开函数均通过_internal调用执行逻辑，不存在先发生外部可到达的交互再读取/写入状态的顺序问题，因此不满足重入漏洞定义。,[],[],success,"[""_balances"", ""_totalSupply"", ""_transfer"", ""_approve"", ""_spendAllowance""]","[189, 193, 248, 255, 268, 291, 317, 318, 336, 359, 379, 389, 392, 395, 417, 420, 443, 446, 448, 469, 489, 498]",0,代码片段展示了 ERC20 标准合约的内部逻辑，所有涉及状态变更的函数（如_transfer、_approve）均在内部调用中完成。外部可交互入口未在此窗口内暴露完整的‘先读后写’且无重入保护的模式；现有证据仅显示正常的状态更新流程，未发现 RE 漏洞特征。,[],[],success,[],empty,[],empty,[],empty
re-case-17,13144,>300,2932,1,,,[],[],parse_failed,"[150, 211, 214, 227, 232, 249, 268, 283, 325, 351, 352, 377, 378, 397, 405, 526, 546, 547, 548, 557, 630, 713, 719, 725, 730, 741, 745, 748, 764, 778, 779, 781, 785, 786, 788, 845, 847, 848, 864, 930, 935, 936, 949, 974, 975, 1032, 1033, 1035, 1036, 1038, 1039, 1040, 1132, 1178, 1181, 1183, 1185, 1229, 1232, 1243, 1263, 1264, 1274, 1278, 1288, 1295, 1308, 1309, 1312, 1328, 1387, 1404, 1405, 1450, 1458, 1467, 1471, 1475, 1476, 1478, 1479, 1490, 1494, 1496, 1509, 1510, 1515, 1516, 1575, 1629, 1738, 1739, 1800, 1926, 1957, 1972, 1981, 1988, 1990, 2086, 2154, 2162, 2165, 2166, 2191, 2206, 2235, 2263, 2264, 2271, 2284, 2294, 2326, 2332, 2343, 2361, 2367, 2411, 2433, 2467, 2478, 2484, 2499, 2522, 2542, 2543, 2566, 2567, 2583, 2591, 2663, 2676, 2728, 2891, 2898, 2899, 2900, 2922, 2926, 2929]",0,候选窗口仅包含接口定义和注释代码，未展示任何状态变量读写或外部调用逻辑。RE 漏洞需要存在‘先读/改状态后执行外部调用’的顺序，此处无相关证据。,[],[],success,[],[],0,,[],[],no_candidate,[],empty,[],empty,[],empty
re-case-18,4858,100-300,134,0,1,aidrop 函数在循环中先执行状态更新（balances[msg.sender] -= ...），随后才调用外部可交互的 Transfer 事件。攻击者可在该事件中重新进入 aidrop，导致同一笔余额被多次扣除并分配给不同地址，造成资金不一致或丢失。,"[103, 104]","[""             balances[msg.sender] -= 1250000000000000000000;"", ""             balances[addresses[i]] += 1250000000000000000000;""]",success,"[20, 26, 40, 42, 50, 52, 53, 67, 69, 71, 99, 103, 104, 112, 113, 124, 126]",0,代码中所有涉及状态变量（balances、_totalSupply）的读写操作均在外部调用发生之前完成，且没有可被重入的外部函数交互逻辑。,[],[],success,"[""balances"", ""msg.sender"", ""_amount""]","[20, 25, 26, 42, 46, 50, 52, 53, 54, 63, 67, 69, 70, 71, 72, 84, 86, 87, 99, 103, 104, 105, 112, 113, 118, 124, 125, 126]",0,代码中所有涉及状态更新的函数（如 transfer、transferFrom）均在外部调用前完成了余额状态的修改，且未包含可被重入的外部交互逻辑。aidrop 和 burn 等内部循环或操作也未暴露重入口点。,"[46, 50, 63, 67, 84, 97, 110, 122]","[""     function transfer(address _to, uint256 _amount) returns (bool success) "", ""        if (balances[msg.sender] >= _amount && _amount > 0 && balances[_to] + _amount > balances[_to]) "", ""     function transferFrom(address _from, address _to, uint256 _amount) returns (bool success) "", ""        if (balances[_from] >= _amount && allowed[_from][msg.sender] >= _amount && _amount > 0 && balances[_to] + _amount > balances[_to]) "", ""     function approve(address _spender, uint256 _amount) returns (bool success) "", ""    function aidrop(address[] addresses) //onlyOwner "", ""    function burn(uint256 _value) returns (bool success) "", ""    function burnFrom(address _from, uint256 _value) returns (bool success) ""]",success,"[""balances[msg.sender] -= 1250000000000000000000;"", ""Transfer(msg.sender, addresses[i], 125000000000000000000);""]",verified,[],empty,"[""function transfer(address _to, uint256 _amount) returns (bool success)"", ""if (balances[msg.sender] >= _amount && _amount > 0 && balances[_to] + _amount > balances[_to])"", ""function transferFrom(address _from, address _to, uint256 _amount) returns (bool success)"", ""if (balances[_from] >= _amount && allowed[_from][msg.sender] >= _amount && _amount > 0 && balances[_to] + _amount > balances[_to])"", ""function approve(address _spender, uint256 _amount) returns (bool success)"", ""function aidrop(address[] addresses) //onlyOwner"", ""function burn(uint256 _value) returns (bool success)"", ""function burnFrom(address _from, uint256 _value) returns (bool success)""]",verified
re-case-19,1253,<100,78,1,1,Collect 函数中先执行 msg.sender.call.value(_am)() 进行外部调用，随后才更新状态变量 acc.balance-=_am。攻击者可在 call 返回后重新进入 Collect 并读取未更新的 balance，导致重复扣款或逻辑不一致。,"[20, 21]","[""        if( acc.balance>=MinSum && acc.balance>=_am && now>acc.unlockTime)"", ""        {""]",success,"[10, 20, 22, 24, 40]",1,在 Collect 函数中，先执行外部调用 msg.sender.call.value(_am)() 发送资金，之后才更新状态变量 acc.balance-=_am。若被调用的恶意合约再次进入此函数并重复触发 call，攻击者可在原账户余额未扣除前多次提取资金，导致不一致的状态和资产损失。,"[20, 21, 22, 23, 24]","[""        if( acc.balance>=MinSum && acc.balance>=_am && now>acc.unlockTime)"", ""        {"", ""            if(msg.sender.call.value(_am)())"", ""            {"", ""                acc.balance-=_am;""]",success,"[""Acc"", ""balance"", ""_am"", ""msg.sender.call.value(_am)"", ""Collect""]","[9, 10, 11, 15, 19, 20, 22, 24, 25, 40, 43]",1,在 Collect 函数中，先执行外部调用 msg.sender.call.value(_am)，随后才更新状态变量 acc.balance-=_am。若被调用的恶意合约再次进入此函数并读取旧的 acc.balance（仍包含未扣除的_am），可能导致重复提款或状态不一致。,"[20, 21, 24]","[""        if( acc.balance>=MinSum && acc.balance>=_am && now>acc.unlockTime)"", ""        {"", ""                acc.balance-=_am;""]",success,"[""if(msg.sender.call.value(_am)()){"", ""acc.balance-=_am;""]",verified,"[""if( acc.balance>=MinSum && acc.balance>=_am && now>acc.unlockTime)"", ""{"", ""    if(msg.sender.call.value(_am)())"", ""{"", ""        acc.balance-=_am;""]",verified,"[""if( acc.balance>=MinSum && acc.balance>=_am && now>acc.unlockTime)"", {""label"": 1}, ""acc.balance-=_am;""]",verified
re-case-20,13260,>300,1468,1,1,withdraw()函数在调用外部账户的call之前未更新状态变量，且该交互为 payable。若攻击者在 call 成功返回后、但在 revert 前（或特定 gas limit 下）重新进入 withdraw()，可能导致余额检查失效或被多次提取资金。,[306],"[""""]",success,"[93, 137, 140, 145, 146, 157, 227, 229, 234, 235, 239, 247, 251, 252, 256, 261, 266, 270, 275, 276, 280, 285, 289, 294, 300, 301, 303, 304, 308, 309, 313, 314, 318, 319, 323, 328, 330, 331, 335, 336, 340, 341, 345, 346, 350, 355, 357, 358, 362, 367, 404, 415, 441, 505, 525, 526, 546, 564, 581, 582, 586, 607, 608, 616, 639, 710, 737, 739, 740, 741, 795, 814, 836, 861, 869, 879, 924, 966, 990, 1020, 1021, 1039, 1044, 1045, 1071, 1074, 1128, 1148, 1151, 1187, 1213, 1283, 1326, 1332, 1342, 1414, 1441, 1448, 1454]",0,代码中不存在可被外部重入的状态更新。withdraw()函数仅执行一次call转移余额，无状态变更；_mintAmount和ownerMint在循环前已校验supply限制并递增balanceOf计数（通过_safeMint），且未涉及资金流出前的状态修改顺序问题。,[],[],success,"[""addressMintedBalance"", ""mint"", ""_safeMint"", ""ownerMint"", ""withdraw""]","[898, 919, 928, 929, 933, 936, 941, 949, 951, 960, 961, 962, 1071, 1078, 1148, 1155, 1242, 1276, 1283, 1317, 1320, 1321, 1322, 1326, 1327, 1329, 1331, 1332, 1333, 1390, 1391, 1433, 1435, 1436, 1437, 1441, 1442, 1444, 1447, 1448, 1449, 1453]",0,代码中_mint和_safeMint函数在调用_onERC721Received之前已完成了_balances和_owners的状态更新，且该接收回调为view类型或仅用于检查实现者，不存在重入风险。withdraw函数虽存在外部交互但未涉及状态变量修改前的顺序问题。,"[943, 960]","[""            _checkOnERC721Received(address(0), to, tokenId, _data),"", ""    function _mint(address to, uint256 tokenId) internal virtual {""]",success,"[""    function withdraw() public payable onlyOwner {""]",verified,[],empty,"[""require(\n            _checkOnERC721Received(address(0), to, tokenId, _data),\n            \""ERC721: transfer to non ERC721Receiver implementer\""\n        );"", ""_mint(to, tokenId);""]",verified
re-case-21,12040,>300,330,0,1,在 getTokens() 函数中，外部交互（接收 ETH）发生在状态更新之前。具体顺序为：先读取 msg.value 和调用 distr() 进行代币分配及 balances/totalDistributed 的状态修改，随后才检查 totalSupply 是否耗尽并设置 distributionFinished=true。由于未使用 reentrancyGuard 或在 state change 前锁定逻辑，攻击者可在外部交互期间重新进入 getTokens()，利用不一致的余额或状态（如重复领取 bonus）造成漏洞。,"[136, 140, 152]","[""        if (newOwner != address(0)) {"", """", """"]",success,"[35, 60, 66, 83, 109, 149, 160, 168, 248, 249, 260, 262, 263, 271, 274, 276, 292, 294, 300, 301, 310, 312, 327]",0,代码中所有涉及外部调用的函数（如 transfer、transferFrom）均在调用前完成了状态更新，且未出现先读取再写入的状态不一致模式。此外，withdrawAll 和 withdraw 等发送 ETH 的函数仅由 onlyOwner 修饰符保护，不存在重入风险。,[],[],success,"[""balances"", ""distr"", ""getTokens"", ""withdrawAll"", ""owner""]","[60, 72, 75, 81, 83, 95, 104, 106, 107, 109, 117, 119, 120, 124, 125, 131, 132, 135, 136, 137, 141, 142, 143, 147, 148, 149, 150, 156, 159, 160, 161, 163, 164, 168, 172, 173, 176, 177, 180, 186, 189, 223, 231, 234, 236, 243, 244, 248, 249, 260, 262, 263, 271, 274, 276, 288, 289, 298, 301, 304, 306, 309, 310, 312, 314, 318, 325, 328]",1,"在 getTokens() 函数中，外部交互（接收 ETH）发生在状态更新之前。具体顺序为：先读取 msg.value (第 189-246 行)，然后调用 distr() 进行转账和余额增加 (如第 153, 170, 223, 231, 234, 236 行)。由于 getTokens() 仅标记为 canDistr，未显式检查 distributionFinished 状态（该标志在 finishDistribution 中设置），且 distr() 内部也未再次检查此标志。攻击者可在外部交互后、状态更新前重新进入合约，利用不一致的状态进行重入攻击。","[189, 246]","[""    function getTokens() payable canDistr  public {"", ""    }""]",success,"[""    function getTokens() payable canDistr public {"", ""        uint256 tokens = 0;"", ""        ..."", ""            distr(investor, valdrop);"", ""                Claimed[investor] = true;"", ""                progress0drop++;"", ""            }else{"", ""                require( msg.value >= requestMinimum );"", ""            }"", ""        }else if(tokens > 0 && msg.value >= requestMinimum){"", ""            if(now >= deadline && now >= round1 && now < round2){"", ""                distr(investor, tokens);"", ""            }else{"", ""                if(msg.value >= bonusCond1){"", ""                    distr(investor, bonus);"", ""                }else{"", ""                    distr(investor, tokens);"", ""                }   "", ""            }"", ""        }else{"", ""            require( msg.value >= requestMinimum );"", ""        }"", """", ""        if (totalDistributed >= totalSupply) {"", ""            distributionFinished = true;"", ""        }""]",verified,[],empty,"[""    function getTokens() payable canDistr public {"", ""        if (totalDistributed >= totalSupply) {\n            distributionFinished = true;\n        }\n    }""]",verified
re-case-22,12792,>300,2201,0,0,The contract uses a bitmap-based ownership system where state updates (_owned[from].unset/id; _balances update in _update function) occur before external calls or re-entrancy points. The transfer logic does not involve balance checks followed by an external call to the same account without updating balances first. No standard ERC20/ERC721 pattern of 'read balance -> modify state -> external call' exists here.,[],[],success,"[20, 42, 64, 88, 89, 100, 124, 138, 196, 198, 203, 204, 208, 216, 220, 221, 225, 230, 235, 239, 244, 245, 249, 254, 258, 263, 269, 270, 272, 273, 277, 278, 282, 283, 287, 288, 292, 297, 299, 300, 304, 305, 309, 310, 314, 315, 319, 324, 326, 327, 331, 336, 394, 396, 399, 401, 424, 426, 469, 481, 499, 504, 521, 522, 523, 533, 585, 588, 594, 600, 606, 625, 626, 635, 652, 653, 654, 1098, 1099, 1144, 1204, 1214, 1215, 1227, 1232, 1238, 1240, 1250, 1256, 1267, 1270, 1273, 1303, 1318, 1332, 1719, 1772, 1775, 1778, 1799, 1802, 1805, 1960, 1961, 1962, 1963, 1967, 1968, 1970, 1971, 1980, 1992, 2035, 2063, 2085, 2128]",0,代码片段展示了 ERC-721/ERC-1155 标准的 token transfer 逻辑，状态更新（_update）在外部调用发生前已完成。虽然存在 _afterTokenTransfer hook，但它是 view/pure 或仅包含本地检查，且没有显示任何 payable 的 external call 发生在 state update 之前，因此不满足重入漏洞定义中的‘先交互后更新’顺序。,"[1956, 2078]","[""        _update(from, to, value, mint);"", ""        }""]",success,"[""_balances"", ""transferFrom"", ""_update""]","[128, 431, 481, 504, 630, 639, 649, 1099, 1144, 1215, 1291, 1293, 1301, 1308, 1310, 1320, 1336, 1358, 1387, 1396, 1422, 1916, 1934, 1956, 1959, 1960, 1961, 1968, 1971, 2128]",0,代码中状态更新（如_balances读写）均在外部调用发生之前完成，且没有观察到在状态更新前进行的外部交互模式。,[],[],success,[],empty,"[""_update(from, to, value, mint);"", ""return tokenIds;""]",verified,[],empty
re-case-23,14011,100-300,138,1,1,在 doDistributionRange 函数中，循环内先读取状态变量 tokensTransferredSoFar（用于计算 numTokens），随后调用 tokenContract.transfer。由于 transfer 是外部可到达的交互且发生在 state 更新之前，攻击者可在转移过程中重新进入合约并修改 shared storage 中的 tokensTransferredSoFar 或实际余额，导致不一致的状态和超额发放代币。,"[103, 104]","[""    uint256 tokensTransferredSoFar = tokensTransferred;"", ""    uint256 end = start + contributors.length;""]",success,"[4, 50, 130, 135]",0,代码中 handleTokensReceived() 先读取 token 余额并更新状态，再调用外部合约 transfer。由于是 ERC20 代币且未涉及本合约资产变动前的重入风险点（如 ETH 转账），无典型重入漏洞特征。,"[48, 53]","[""  function handleTokensReceived() public {"", ""    tokensTransferred = 0;""]",success,"[""balance"", ""transfer""]","[4, 5, 33, 50, 53, 63, 71, 89, 91, 92, 96, 103, 112, 113, 114, 117, 118, 125, 135]",1,在 doDistributionRange (第 92-115 行) 和 doDistribution (第 84-96 行) 中，循环或函数内部先更新状态变量 tokensTransferredSoFar/tokensTransferred 并设置 state（如第 103、117、119 行），随后才调用 tokenContract.transfer(第 114/96 行)。由于 transfer 是外部可到达的交互，攻击者可在转移过程中重新进入合约。此时状态变量可能已被修改或处于不一致中间态（如 tokensTransferredSoFar 已增加但尚未完成所有逻辑校验），且缺乏每次调用前对 state==State.Done 的检查来阻止重入。,"[103, 114]","[""    uint256 tokensTransferredSoFar = tokensTransferred;"", ""      require(tokenContract.transfer(contributor, numTokens));""]",success,"[""      uint256 numTokens = _numTokensForContributor(expectedTokens, tokensTransferredSoFar, _state);"", ""      require(tokenContract.transfer(contributor, numTokens));""]",verified,"[""    function handleTokensReceived() public {"", ""      tokensTransferred = 0;""]",verified,"[""uint256 tokensTransferredSoFar = tokensTransferred;"", ""require(tokenContract.transfer(contributor, numTokens));""]",verified
re-case-24,11297,>300,626,0,1,在 transferFrom、transfer 及 burnFrom 等函数中，调用内部状态变更逻辑（如 _transfer）后未立即更新余额或 allowance。攻击者可在外部交互完成前重新进入合约，读取不一致的中间状态并再次触发转账，导致重复扣款或授权失效。,"[167, 203]","[""   *"", ""  /**""]",success,"[34, 37, 50, 55, 72, 91, 230, 307, 310, 338, 351, 401, 403, 404, 427, 461, 462, 472, 489, 499, 521, 530, 537, 560, 566, 567, 583, 601]",0,代码中所有状态更新（如_balances读写）均发生在外部调用之前，且无外部可重入交互点。,[],[],success,"[""_balances"", ""_transfer"", ""_Mac"", ""_burn"", ""Matrix""]","[338, 351, 404, 430, 466, 515, 516, 523, 526, 533, 544, 562, 566, 567, 580, 583, 598, 601]",0,代码中所有涉及状态变更的函数（如 transfer、transferFrom、Matrix）均直接调用内部转移逻辑或更新余额，未出现先执行外部可到达交互再修改状态的顺序。且无明显的 reentrancy guard 缺失导致的漏洞模式。,[],[],success,"[""function transferFrom(address sender, address recipient, uint256 amount) external override returns (bool) {\n    _transfer(sender, recipient, amount);\n    _approve(sender, _msgSender(), _allowances[sender][_msgSender()].sub(amount, \""BEP20: transfer amount exceeds allowance\""));\n    return true;\n  }"", ""function burnFrom(address account, uint256 amount) public virtual {\n      uint256 decreasedAllowance = _allowances[account][_msgSender()].sub(amount, \""BEP20: burn amount exceeds allowance\"");\n\n      _approve(account, _msgSender(), decreasedAllowance);\n      _burn(account, amount);\n  }""]",verified,[],empty,[],empty
