sample_id,task,contract_id,final_label,stratum,physical_loc,source_file,source_sha256,source_bytes,label_basis,vote_status,source_manifest
re-case-17,RE,13144,1,>300,2932,sources/13144.sol,dc1852c24061b624b27127aeafe4cc86ecf4e1b8663518917f852ec4c3f13199,134788,screened_source_audit_positive,positive_candidate_source,RE/keyword_positive/re_cei_violation_207.csv
re-case-18,RE,4858,0,100-300,134,sources/4858.sol,f5f6b77474ed9d3eb05635fb254626c8720c7413f63c92d6a65a6edd1107f8e7,3990,tool_zero_vote_target_negative,zero_vote_negative,generated/dive_type_vote_manifest.csv
re-case-19,RE,1253,1,<100,78,sources/1253.sol,23aac2b7fb6b74c97c4ce7fd6f31135a306594a221d141960e055304b84cda3b,1490,screened_source_audit_positive,positive_candidate_source,RE/keyword_positive/re_cei_violation_207.csv
re-case-20,RE,13260,1,>300,1468,sources/13260.sol,8a422f2f1dc83b911fdbbbd73ef86329e491e74db07af6fc822f9de5e8fb9fd5,49606,screened_source_audit_positive,positive_candidate_source,RE/keyword_positive/re_cei_violation_207.csv
re-case-21,RE,12040,0,>300,330,sources/12040.sol,52b37583bb92984d27c5c758cc0abe5af041edc244d2831d4a3e21def6d9a3a1,11061,tool_zero_vote_target_negative,zero_vote_negative,generated/dive_type_vote_manifest.csv
re-case-22,RE,12792,0,>300,2201,sources/12792.sol,6c9229d3308382a25e43cd4916dad09097571643b1f20d7376df178abbb867f1,79331,tool_zero_vote_target_negative,zero_vote_negative,generated/dive_type_vote_manifest.csv
re-case-23,RE,14011,1,100-300,138,sources/14011.sol,fa2dee7ae3040f2506988178d8112e3de12183da0de79226d6120ad09586a2a5,4564,screened_source_audit_positive,positive_candidate_source,RE/keyword_positive/re_cei_violation_207.csv
re-case-24,RE,11297,0,>300,626,sources/11297.sol,ca2bcdc4483cecce38d571eaa35014582f8e2c9fb0b947c0fcbda7f1cdcf5997,20438,tool_zero_vote_target_negative,zero_vote_negative,generated/dive_type_vote_manifest.csv
re-case-25,RE,8435,0,100-300,259,sources/8435.sol,df0763a6219101e45a82fa2f139ed1faa20091849f535cf7cefd753483694f34,10468,tool_zero_vote_target_negative,zero_vote_negative,generated/dive_type_vote_manifest.csv
re-case-26,RE,14686,0,100-300,299,sources/14686.sol,00de43191e067f9d4169295d4296cfba422d730689b9a9a0a48ffd934535974d,10739,tool_zero_vote_target_negative,zero_vote_negative,generated/dive_type_vote_manifest.csv
re-case-27,RE,7835,0,100-300,151,sources/7835.sol,603f11650aa8e8245b5356adffd27f5afb555d7c0397abcafb8ff7059770d4c4,3918,tool_zero_vote_target_negative,zero_vote_negative,generated/dive_type_vote_manifest.csv
re-case-28,RE,15410,0,<100,93,sources/15410.sol,8b256ca9a37ea34cea85be929c3cb3c03e8999aba1b1e60e02ace36ea80b1f5d,3145,tool_zero_vote_target_negative,zero_vote_negative,generated/dive_type_vote_manifest.csv
re-case-29,RE,15968,0,100-300,202,sources/15968.sol,f74a6561d532f0015fe5612980034fc4aeec0cd795d68fb2bc0cbfd5ef83dd02,6891,tool_zero_vote_target_negative,zero_vote_negative,generated/dive_type_vote_manifest.csv
re-case-30,RE,20367,1,>300,1954,sources/20367.sol,19ee2e47f75c037e02c814c69c15541d05939c530fd97f5c9e377a32c0c831a1,69409,screened_source_audit_positive,positive_candidate_source,RE/keyword_positive/re_cei_violation_207.csv
re-case-31,RE,4781,0,<100,50,sources/4781.sol,0fe7d4e113e1f4adfe5516df2ebc1c13eadf9af9f53ed476cad480a64de59042,1371,tool_zero_vote_target_negative,zero_vote_negative,generated/dive_type_vote_manifest.csv
re-case-32,RE,15740,1,>300,1197,sources/15740.sol,2185fb331798878702eb1c181e162bff89d1cd968ae196163b3a160f7a4f8cfb,45581,screened_source_audit_positive,positive_candidate_source,RE/keyword_positive/re_cei_violation_207.csv
re-case-33,RE,1461,0,<100,82,sources/1461.sol,e0295379669a4eb9e7953284f0e60e02748c4d2d13f2bce4579ef00df58393ad,1894,tool_zero_vote_target_negative,zero_vote_negative,generated/dive_type_vote_manifest.csv
re-case-34,RE,2412,0,>300,778,sources/2412.sol,aa7b3423a847af752057dfa939fa434c55a6a0bad6b164c7fc02ecd93dd6e7f3,27253,tool_zero_vote_target_negative,zero_vote_negative,generated/dive_type_vote_manifest.csv
re-case-35,RE,4342,0,100-300,150,sources/4342.sol,3945e049487a1c0195f626d706fe31809a533de1cc7d8dc18e3f00c10ed8457e,6462,tool_zero_vote_target_negative,zero_vote_negative,generated/dive_type_vote_manifest.csv
re-case-36,RE,22042,1,100-300,277,sources/22042.sol,a1d5d4c31621bc3f8e6a96c9d2306a6d58bde159c3de18ee8e287072e635b179,7879,screened_source_audit_positive,positive_candidate_source,RE/keyword_positive/re_cei_violation_207.csv
re-case-37,RE,16634,0,100-300,177,sources/16634.sol,73ef945267a22570c95a2d3cc3714da5a0968c951980c60f1511a8d577c84824,7005,tool_zero_vote_target_negative,zero_vote_negative,generated/dive_type_vote_manifest.csv
re-case-38,RE,11054,1,<100,78,sources/11054.sol,172c4fd20e93501f13268b3e1cd7ca460d5642c771a761f673b969b20908e99f,1490,screened_source_audit_positive,positive_candidate_source,RE/keyword_positive/re_cei_violation_207.csv
re-case-39,RE,694,1,>300,1786,sources/694.sol,8479355e794fb487fb8130f5642e7d34eaecaec985b99590c588e7287433c7c3,67322,screened_source_audit_positive,positive_candidate_source,RE/keyword_positive/re_cei_violation_207.csv
re-case-40,RE,325,1,<100,89,sources/325.sol,5eb46894a772ad543266b12d7279f2c2f7d7f4018a2a49d83950e6249b7f3741,1671,screened_source_audit_positive,positive_candidate_source,RE/keyword_positive/re_cei_violation_207.csv
re-case-41,RE,3813,1,100-300,122,sources/3813.sol,f51ba09edff942a66de6b27e9880e0dd0687ff9d04b8398db2f620f029cf5170,3867,screened_source_audit_positive,positive_candidate_source,RE/keyword_positive/re_cei_violation_207.csv
re-case-42,RE,621,0,<100,20,sources/621.sol,6e912260fc32496e3f5b91991e114c1ef81c2f075803760cf947c6e1ba981657,748,tool_zero_vote_target_negative,zero_vote_negative,generated/dive_type_vote_manifest.csv
re-case-43,RE,17000,0,>300,351,sources/17000.sol,7f9a33a06412dc1f466b2e8975c01b2de2319ca3fe9408d7cb9f8a9e203cd138,9056,tool_zero_vote_target_negative,zero_vote_negative,generated/dive_type_vote_manifest.csv
re-case-44,RE,10140,1,<100,78,sources/10140.sol,8e72ca0e731b75e5d1c660f71f517d18b5ec64c7a73e9aac0694436ec9d82273,1490,screened_source_audit_positive,positive_candidate_source,RE/keyword_positive/re_cei_violation_207.csv
re-case-45,RE,11184,1,<100,78,sources/11184.sol,482e3846bb478bdd871e5233c6138a1a22a39988c5e3dcad9d89eb34c18fef26,1490,screened_source_audit_positive,positive_candidate_source,RE/keyword_positive/re_cei_violation_207.csv
re-case-46,RE,11833,0,<100,14,sources/11833.sol,c6911c675a54ce45cd44ed78d15f898bb071c95abd1c6b7962fbf15585b2ebd1,353,tool_zero_vote_target_negative,zero_vote_negative,generated/dive_type_vote_manifest.csv
re-case-47,RE,13088,1,>300,831,sources/13088.sol,4a99534b4d1a3796f729ca0ef6fb7250212878aca3a92e9335877774eac64236,32016,screened_source_audit_positive,positive_candidate_source,RE/keyword_positive/re_cei_violation_207.csv
re-case-48,RE,4340,0,100-300,170,sources/4340.sol,722ed06474be92659e2ebcab8565ce28497404f95ca9d47ad9d39ee2fbb50d34,5341,tool_zero_vote_target_negative,zero_vote_negative,generated/dive_type_vote_manifest.csv
re-case-49,RE,19494,1,>300,891,sources/19494.sol,9614f13a0737cb548771b2b26c4896a9133a3d1ef62df6b790248df70a8dd34f,33285,screened_source_audit_positive,positive_candidate_source,RE/keyword_positive/re_cei_violation_207.csv
re-case-50,RE,19310,1,>300,2927,sources/19310.sol,dede12bc845b96c6d60af10a49f762e7ad140d58c7436ef1874d957d76be8ce7,106259,screened_source_audit_positive,positive_candidate_source,RE/keyword_positive/re_cei_violation_207.csv
